"pincode","city","state_code","cod","prepaid","pickup","zone"
"100013","#N/A","#N/A","N","Y","N",""
"100100","DELHI","DELHI","N","Y","N",""
"100193","#N/A","#N/A","N","Y","N",""
"100781","#N/A","#N/A","N","Y","N",""
"100782","#N/A","#N/A","N","Y","N",""
"100867","#N/A","#N/A","N","Y","N",""
"100895","#N/A","#N/A","N","Y","N",""
"101226","#N/A","#N/A","N","Y","N",""
"102019","#N/A","#N/A","N","Y","N",""
"102074","#N/A","#N/A","N","Y","N",""
"109956","#N/A","#N/A","N","Y","N",""
"110000","Delhi","Delhi","Y","Y","Y","Z1"
"110001","DELHI","DL","Y","Y","Y","Z1"
"110002","Delhi","Delhi","Y","Y","Y","Z1"
"110003","DELHI","DELHI","Y","Y","Y","Z1"
"110004","Delhi","Delhi","Y","Y","Y","Z1"
"110005","DELHI","DELHI","Y","Y","Y","Z1"
"110006","Delhi","Delhi","Y","Y","Y","Z1"
"110007","Delhi","Delhi","Y","Y","Y","Z1"
"110008","Delhi","Delhi","Y","Y","Y","Z1"
"110009","DELHI","DELHI","Y","Y","Y","Z1"
"110010","Delhi","Delhi","Y","Y","Y","Z1"
"110011","DELHI","DL","Y","Y","Y","Z1"
"110012","Delhi","Delhi","Y","Y","Y","Z1"
"110013","DELHI","DL","Y","Y","Y","Z1"
"110014","Delhi","Delhi","Y","Y","Y","Z1"
"110015","DELHI","DL","Y","Y","Y","Z1"
"110016","Delhi","Delhi","Y","Y","Y","Z1"
"110017","DELHI","DELHI","Y","Y","Y","Z1"
"110018","Delhi","Delhi","Y","Y","Y","Z1"
"110019","DELHI","DELHI","Y","Y","Y","Z1"
"110020","Delhi","Delhi","Y","Y","Y","Z1"
"110021","Delhi","Delhi","Y","Y","Y","Z1"
"110022","Delhi","Delhi","Y","Y","Y","Z1"
"110023","DELHI","DELHI","Y","Y","Y","Z1"
"110024","Delhi","Delhi","Y","Y","Y","Z1"
"110025","DELHI","DL","Y","Y","Y","Z1"
"110026","Delhi","Delhi","Y","Y","Y","Z1"
"110027","DELHI","DL","Y","Y","Y","Z1"
"110028","Delhi","Delhi","Y","Y","Y","Z1"
"110029","DELHI","DL","Y","Y","Y","Z1"
"110030","Delhi","Delhi","Y","Y","Y","Z1"
"110031","DELHI","DELHI","Y","Y","Y","Z1"
"110032","Delhi","Delhi","Y","Y","Y","Z1"
"110033","DELHI","DELHI","Y","Y","Y","Z1"
"110034","Delhi","Delhi","Y","Y","Y","Z1"
"110035","Delhi","Delhi","Y","Y","Y","Z1"
"110036","Delhi","Delhi","Y","Y","Y","Z1"
"110037","DELHI","DELHI","Y","Y","Y","Z1"
"110038","Delhi","Delhi","Y","Y","Y","Z1"
"110039","DELHI","DELHI","Y","Y","Y","Z1"
"110040","Delhi","Delhi","Y","Y","Y","Z1"
"110041","New Delhi","DELHI","Y","Y","Y","Z1"
"110042","Delhi","Delhi","Y","Y","Y","Z1"
"110043","DELHI","DL","Y","Y","Y","Z1"
"110044","Delhi","Delhi","Y","Y","Y","Z1"
"110045","DELHI","DELHI","Y","Y","Y","Z1"
"110046","Delhi","Delhi","Y","Y","Y","Z1"
"110047","DELHI","DL","Y","Y","Y","Z1"
"110048","Delhi","Delhi","Y","Y","Y","Z1"
"110049","Delhi","Delhi","Y","Y","Y","Z1"
"110050","Delhi","Delhi","Y","Y","Y","Z1"
"110051","DELHI","DELHI","Y","Y","Y","Z1"
"110052","Delhi","Delhi","Y","Y","Y","Z1"
"110053","DELHI","DELHI","Y","Y","Y","Z1"
"110054","Delhi","Delhi","Y","Y","Y","Z1"
"110055","New Delhi","DELHI","Y","Y","Y","Z1"
"110056","Delhi","Delhi","Y","Y","Y","Z1"
"110057","DELHI","DL","Y","Y","Y","Z1"
"110058","Delhi","Delhi","Y","Y","Y","Z1"
"110059","DELHI","DELHI","Y","Y","Y","Z1"
"110060","Delhi","Delhi","Y","Y","Y","Z1"
"110061","Delhi","Delhi","Y","Y","Y","Z1"
"110062","Delhi","Delhi","Y","Y","Y","Z1"
"110063","DELHI","DL","Y","Y","Y","Z1"
"110064","Delhi","Delhi","Y","Y","Y","Z1"
"110065","DELHI","DELHI","Y","Y","Y","Z1"
"110066","Delhi","Delhi","Y","Y","Y","Z1"
"110067","DELHI","DELHI","Y","Y","Y","Z1"
"110068","Delhi","Delhi","Y","Y","Y","Z1"
"110069","Delhi","Delhi","Y","Y","Y","Z1"
"110070","Delhi","Delhi","Y","Y","Y","Z1"
"110071","DELHI","DL","Y","Y","Y","Z1"
"110072","Delhi","Delhi","Y","Y","Y","Z1"
"110073","DELHI","DL","Y","Y","Y","Z1"
"110074","Delhi","Delhi","Y","Y","Y","Z1"
"110075","Delhi","Delhi","Y","Y","Y","Z1"
"110076","Delhi","Delhi","Y","Y","Y","Z1"
"110077","DELHI","DL","Y","Y","Y","Z1"
"110078","Delhi","Delhi","Y","Y","Y","Z1"
"110079","Delhi","Delhi","Y","Y","Y","Z1"
"110080","Delhi","Delhi","Y","Y","Y","Z1"
"110081","DELHI","DELHI","Y","Y","Y","Z1"
"110082","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110083","DELHI","DL","Y","Y","Y","Z1"
"110084","Delhi","Delhi","Y","Y","Y","Z1"
